ticker,bench,events_total,events_pre_total,events_intra_total,events_post_total,blue_any_rate,blue_hard_rate,blue_soft_rate,ark_any_rate,ark_hard_rate,ark_soft_rate,print_any_rate,print_hard_rate,print_soft_rate,open_any_rate,open_hard_rate,open_soft_rate,global_any_rate,global_hard_rate,global_soft_rate,intra_any_rate,intra_hard_rate,intra_soft_rate,post_any_rate,post_hard_rate,post_soft_rate,corr,beta,sigma
A,IWM,67,25,42,0,0.0,0.0,0.0,0.16,0.12,0.04,0.32,0.16,0.16,0.56,0.48,0.08,0.64,0.4,0.24,0.0,0.0,0.0,,,,0.75,0.54,0.67
AA,IWM,122,65,57,0,0.2,0.09230769230769231,0.1076923076923077,0.6461538461538462,0.46153846153846156,0.18461538461538463,0.26153846153846155,0.07692307692307693,0.18461538461538463,0.4461538461538462,0.2923076923076923,0.15384615384615385,0.7076923076923077,0.5076923076923077,0.2,0.0,0.0,0.0,,,,0.88,1.82,1.76
AAAU,QQQ,99,61,38,0,0.11475409836065574,0.08196721311475409,0.03278688524590164,0.5737704918032787,0.39344262295081966,0.18032786885245902,0.29508196721311475,0.14754098360655737,0.14754098360655737,0.5081967213114754,0.36065573770491804,0.14754098360655737,0.7049180327868853,0.4918032786885246,0.21311475409836064,0.0,0.0,0.0,,,,0.58,0.84,1.0
AAL,IWM,108,59,49,0,0.3898305084745763,0.3220338983050847,0.06779661016949153,0.8813559322033898,0.864406779661017,0.01694915254237288,0.23728813559322035,0.13559322033898305,0.1016949152542373,0.6271186440677966,0.4406779661016949,0.1864406779661017,0.9661016949152542,0.8983050847457628,0.06779661016949153,0.0,0.0,0.0,,,,0.84,1.04,1.28
AALG,IWM,22,16,6,0,0.0,0.0,0.0,0.375,0.0,0.375,0.3125,0.0,0.3125,0.375,0.0625,0.3125,0.5,0.0,0.5,0.0,0.0,0.0,,,,0.77,1.95,2.99
AAMI,SPY,33,11,22,0,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.36363636363636365,0.36363636363636365,0.0,0.36363636363636365,0.2727272727272727,0.09090909090909091,0.0,0.0,0.0,,,,0.77,1.18,1.41
AAOI,SPY,128,65,63,0,0.36923076923076925,0.16923076923076924,0.2,0.6923076923076923,0.47692307692307695,0.2153846153846154,0.16923076923076924,0.0,0.16923076923076924,0.47692307692307695,0.07692307692307693,0.4,0.8307692307692308,0.47692307692307695,0.35384615384615387,0.0,0.0,0.0,,,,0.89,5.38,3.21
AAON,IWM,56,16,40,0,0.0,0.0,0.0,0.25,0.25,0.0,0.4375,0.25,0.1875,0.5625,0.375,0.1875,0.5625,0.4375,0.125,0.0,0.0,0.0,,,,0.85,1.36,2.53
AAP,IWM,44,15,29,0,0.0,0.0,0.0,0.3333333333333333,0.2,0.13333333333333333,0.2,0.2,0.0,0.4,0.26666666666666666,0.13333333333333333,0.5333333333333333,0.4,0.13333333333333333,0.0,0.0,0.0,,,,0.55,0.51,1.99
AAPB,SPY,97,63,34,0,0.047619047619047616,0.047619047619047616,0.0,0.5714285714285714,0.3968253968253968,0.1746031746031746,0.2222222222222222,0.14285714285714285,0.07936507936507936,0.6031746031746031,0.38095238095238093,0.2222222222222222,0.8095238095238095,0.5714285714285714,0.23809523809523808,0.0,0.0,0.0,,,,0.57,1.0,1.47
