ticker,bench,corr,beta,sig,events_total,total_delta,mean_delta_total,median_delta_total,n_up_total,n_down_total,n_flat_total,up_ratio_total,down_ratio_total,early_blue_up_rate,early_blue_down_rate,early_ark_up_rate,early_ark_down_rate,middle_ark_up_rate,middle_ark_down_rate,late_ark_up_rate,late_ark_down_rate,open_up_rate,open_down_rate,early_post_up_rate,early_post_down_rate,late_post_up_rate,late_post_down_rate,EARLY_ARK_n,EARLY_BLUE_n,LATE_ARK_n,MIDDLE_ARK_n,OPEN_n,EARLY_ARK_n_up,EARLY_BLUE_n_up,LATE_ARK_n_up,MIDDLE_ARK_n_up,OPEN_n_up,EARLY_ARK_n_down,EARLY_BLUE_n_down,LATE_ARK_n_down,MIDDLE_ARK_n_down,OPEN_n_down,EARLY_ARK_n_flat,EARLY_BLUE_n_flat,LATE_ARK_n_flat,MIDDLE_ARK_n_flat,OPEN_n_flat,EARLY_ARK_up_ratio,EARLY_BLUE_up_ratio,LATE_ARK_up_ratio,MIDDLE_ARK_up_ratio,OPEN_up_ratio,EARLY_ARK_down_ratio,EARLY_BLUE_down_ratio,LATE_ARK_down_ratio,MIDDLE_ARK_down_ratio,OPEN_down_ratio,EARLY_ARK_total_delta,EARLY_BLUE_total_delta,LATE_ARK_total_delta,MIDDLE_ARK_total_delta,OPEN_total_delta,EARLY_ARK_mean_delta,EARLY_BLUE_mean_delta,LATE_ARK_mean_delta,MIDDLE_ARK_mean_delta,OPEN_mean_delta,EARLY_ARK_median_delta,EARLY_BLUE_median_delta,LATE_ARK_median_delta,MIDDLE_ARK_median_delta,OPEN_median_delta,EARLY_ARK_mean_up,EARLY_BLUE_mean_up,LATE_ARK_mean_up,MIDDLE_ARK_mean_up,OPEN_mean_up,EARLY_ARK_median_up,EARLY_BLUE_median_up,LATE_ARK_median_up,MIDDLE_ARK_median_up,OPEN_median_up,EARLY_ARK_mean_down,EARLY_BLUE_mean_down,LATE_ARK_mean_down,MIDDLE_ARK_mean_down,OPEN_mean_down,EARLY_ARK_median_down,EARLY_BLUE_median_down,LATE_ARK_median_down,MIDDLE_ARK_median_down,OPEN_median_down
A,,,,,74,16.969999999999995,0.22932432432432426,0.07500000000000001,43,30,1,0.581081081081081,0.40540540540540543,,,,,,,0.0,1.0,0.5972222222222222,0.3888888888888889,,,,,,,2.0,,72.0,,,0.0,,43.0,,,2.0,,28.0,,,0.0,,1.0,,,0.0,,0.5972222222222222,,,1.0,,0.3888888888888889,,,-0.55,,17.52,,,-0.275,,0.24333333333333332,,,-0.275,,0.08999999999999997,,,,,0.6397674418604652,,,,,0.38999999999999996,,,-0.275,,-0.3567857142857144,,,-0.275,,-0.29
AA,,,,,145,8.609999999999998,0.05937931034482757,-0.03,65,75,5,0.4482758620689655,0.5172413793103449,0.0,1.0,0.7142857142857143,0.2857142857142857,0.5,0.5,0.42857142857142855,0.48214285714285715,0.4722222222222222,0.5277777777777778,,,,,7.0,6.0,56.0,4.0,72.0,5.0,0.0,24.0,2.0,34.0,2.0,6.0,27.0,2.0,38.0,0.0,0.0,5.0,0.0,0.0,0.7142857142857143,0.0,0.42857142857142855,0.5,0.4722222222222222,0.2857142857142857,1.0,0.48214285714285715,0.5,0.5277777777777778,3.28,-2.29,-1.790000000000001,0.14000000000000046,9.269999999999996,0.4685714285714285,-0.38166666666666665,-0.03196428571428573,0.035000000000000114,0.12874999999999995,0.25,-0.40499999999999997,0.0,-0.04999999999999999,-0.030000000000000013,0.756,,0.35624999999999996,0.36000000000000015,1.2961764705882355,0.44999999999999996,,0.325,0.36000000000000015,0.965,-0.2500000000000001,-0.38166666666666665,-0.38296296296296295,-0.2899999999999999,-0.9157894736842106,-0.2500000000000001,-0.40499999999999997,-0.22999999999999998,-0.2899999999999999,-0.7150000000000001
AAAU,,,,,176,-6.689999999999995,-0.03801136363636361,-0.015000000000000006,74,89,13,0.42045454545454547,0.5056818181818182,0.0,0.6,0.4444444444444444,0.48148148148148145,0.29411764705882354,0.6470588235294118,0.4,0.5272727272727272,0.4861111111111111,0.4583333333333333,,,,,27.0,5.0,55.0,17.0,72.0,12.0,0.0,22.0,5.0,35.0,13.0,3.0,29.0,11.0,33.0,2.0,2.0,4.0,1.0,4.0,0.4444444444444444,0.0,0.4,0.29411764705882354,0.4861111111111111,0.48148148148148145,0.6,0.5272727272727272,0.6470588235294118,0.4583333333333333,-1.3200000000000007,-0.7300000000000001,-2.33,-0.6000000000000001,-1.709999999999999,-0.04888888888888892,-0.14600000000000002,-0.04236363636363637,-0.03529411764705883,-0.023749999999999986,0.0,-0.22000000000000003,-0.04,-0.04999999999999982,0.0,0.32416666666666666,,0.2759090909090909,0.23399999999999999,0.14857142857142855,0.3499999999999999,,0.19499999999999998,0.20000000000000007,0.12,-0.4007692307692307,-0.24333333333333337,-0.2896551724137931,-0.16090909090909092,-0.2093939393939394,-0.39,-0.22000000000000008,-0.2,-0.16000000000000014,-0.15000000000000013
AAL,,,,,223,0.3100000000000016,0.0013901345291479892,0.0,102,108,13,0.45739910313901344,0.484304932735426,0.6875,0.25,0.4166666666666667,0.4722222222222222,0.4074074074074074,0.5185185185185185,0.4305555555555556,0.4861111111111111,0.4722222222222222,0.5277777777777778,,,,,36.0,16.0,72.0,27.0,72.0,15.0,11.0,31.0,11.0,34.0,17.0,4.0,35.0,14.0,38.0,4.0,1.0,6.0,2.0,0.0,0.4166666666666667,0.6875,0.4305555555555556,0.4074074074074074,0.4722222222222222,0.4722222222222222,0.25,0.4861111111111111,0.5185185185185185,0.5277777777777778,-2.6599999999999997,1.3799999999999994,-1.11,-0.0699999999999999,2.7700000000000014,-0.07388888888888888,0.08624999999999997,-0.015416666666666669,-0.0025925925925925886,0.03847222222222224,0.0,0.07999999999999999,0.0,-0.08,-0.13500000000000004,0.25466666666666665,0.18999999999999997,0.19580645161290328,0.20454545454545456,0.9844117647058823,0.22999999999999998,0.16,0.16,0.16,0.7949999999999999,-0.38117647058823534,-0.1775,-0.20514285714285715,-0.1657142857142857,-0.8078947368421051,-0.26,-0.16499999999999998,-0.15000000000000002,-0.11999999999999997,-0.74
AALG,,,,,27,-5.939999999999998,-0.21999999999999992,0.1399999999999999,14,13,0,0.5185185185185185,0.48148148148148145,,,,,,,1.0,0.0,0.48,0.52,,,,,,,2.0,,25.0,,,2.0,,12.0,,,0.0,,13.0,,,0.0,,0.0,,,1.0,,0.48,,,0.0,,0.52,,,4.9,,-10.839999999999996,,,2.45,,-0.4335999999999999,,,2.45,,-0.58,,,2.45,,1.7958333333333334,,,2.45,,1.2149999999999999,,,,,-2.4915384615384615,,,,,-2.07
AAMI,,,,,69,-4.879999999999996,-0.07072463768115937,0.12999999999999998,40,29,0,0.5797101449275363,0.42028985507246375,,,,,,,,,0.5797101449275363,0.42028985507246375,,,,,,,,,69.0,,,,,40.0,,,,,29.0,,,,,0.0,,,,,0.5797101449275363,,,,,0.42028985507246375,,,,,-4.879999999999996,,,,,-0.07072463768115937,,,,,0.12999999999999998,,,,,0.6095,,,,,0.52,,,,,-1.0089655172413792,,,,,-0.58
AAOI,,,,,186,-12.72999999999999,-0.0684408602150537,0.0,87,92,7,0.46774193548387094,0.4946236559139785,0.4666666666666667,0.5333333333333333,0.5,0.4583333333333333,0.4444444444444444,0.4444444444444444,0.5303030303030303,0.4393939393939394,0.4027777777777778,0.5555555555555556,,,,,24.0,15.0,66.0,9.0,72.0,12.0,7.0,35.0,4.0,29.0,11.0,8.0,29.0,4.0,40.0,1.0,0.0,2.0,1.0,3.0,0.5,0.4666666666666667,0.5303030303030303,0.4444444444444444,0.4027777777777778,0.4583333333333333,0.5333333333333333,0.4393939393939394,0.4444444444444444,0.5555555555555556,0.5700000000000005,-0.0699999999999994,5.870000000000003,1.5399999999999998,-20.639999999999993,0.02375000000000002,-0.004666666666666626,0.08893939393939398,0.1711111111111111,-0.28666666666666657,0.014999999999999902,-0.030000000000000027,0.050000000000000044,0.0,-0.19500000000000012,0.77,0.7742857142857146,0.5680000000000001,0.7724999999999999,2.0910344827586202,0.675,0.8,0.35000000000000003,0.36499999999999994,1.23,-0.788181818181818,-0.6862500000000001,-0.4831034482758621,-0.3874999999999999,-2.032000000000001,-0.3799999999999999,-0.385,-0.27,-0.2399999999999999,-1.645
AAON,,,,,73,6.210000000000001,0.08506849315068495,0.09999999999999998,41,32,0,0.5616438356164384,0.4383561643835616,,,,,,,0.0,1.0,0.5694444444444444,0.4305555555555556,,,,,,,1.0,,72.0,,,0.0,,41.0,,,1.0,,31.0,,,0.0,,0.0,,,0.0,,0.5694444444444444,,,1.0,,0.4305555555555556,,,-4.640000000000001,,10.850000000000003,,,-4.640000000000001,,0.1506944444444445,,,-4.640000000000001,,0.10000000000000003,,,,,0.8529268292682927,,,,,0.6399999999999999,,,-4.640000000000001,,-0.7780645161290322,,,-4.640000000000001,,-0.41
AAP,,,,,79,-45.97000000000001,-0.5818987341772154,-0.19,30,48,1,0.379746835443038,0.6075949367088608,,,,,,,0.2857142857142857,0.5714285714285714,0.3888888888888889,0.6111111111111112,,,,,,,7.0,,72.0,,,2.0,,28.0,,,4.0,,44.0,,,1.0,,0.0,,,0.2857142857142857,,0.3888888888888889,,,0.5714285714285714,,0.6111111111111112,,,-18.86,,-27.109999999999992,,,-2.6942857142857144,,-0.3765277777777777,,,-0.12,,-0.19999999999999998,,,0.47000000000000003,,0.6557142857142858,,,0.47000000000000003,,0.5549999999999999,,,-4.95,,-1.033409090909091,,,-0.535,,-0.6449999999999999
AAPB,,,,,124,-1.6199999999999994,-0.013064516129032254,0.0,58,60,6,0.46774193548387094,0.4838709677419355,0.5,0.25,0.5,0.5,0.42857142857142855,0.2857142857142857,0.4444444444444444,0.5,0.4788732394366197,0.5070422535211268,,,,,6.0,4.0,36.0,7.0,71.0,3.0,2.0,16.0,3.0,34.0,3.0,1.0,18.0,2.0,36.0,0.0,1.0,2.0,2.0,1.0,0.5,0.5,0.4444444444444444,0.42857142857142855,0.4788732394366197,0.5,0.25,0.5,0.2857142857142857,0.5070422535211268,-0.96,-0.8300000000000001,2.6800000000000006,0.009999999999999565,-2.5200000000000005,-0.16,-0.20750000000000002,0.07444444444444447,0.0014285714285713663,-0.03549295774647888,0.029999999999999916,0.015000000000000013,-0.01999999999999999,0.0,-0.03,0.41,0.11000000000000001,0.5393749999999999,0.16333333333333325,0.9267647058823528,0.49000000000000005,0.11000000000000001,0.3899999999999999,0.08999999999999986,0.645,-0.73,-1.05,-0.3305555555555555,-0.2400000000000001,-0.9452777777777778,-0.27,-1.05,-0.27,-0.2400000000000001,-0.5999999999999999
